id,grade_level,sex,race,gpa,econ_dis,disability,dis_cat,lang,iss_off,iss_days,subj_off,days_absent
1,10th Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,3
2,5th Grade,Male,Hispanic,3,No,No,Not Applicable,English,0,0,0,1
3,9th Grade,Female,Hispanic,2.33,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,3
4,9th Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,5
5,6th Grade,Male,White,2.67,No,Yes,Specific Learning Disability,English,0,0,0,2
6,4th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,2
7,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,7
8,8th Grade,Female,Hispanic,3,No,No,Not Applicable,Spanish,0,0,0,29
9,4th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,5
10,1st Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,5
11,7th Grade,Female,Black,2.67,Yes,No,Not Applicable,English,0,0,0,9
12,9th Grade,Female,Black,2.33,Yes,No,Not Applicable,English,0,0,0,8
13,9th Grade,Female,Asian,3,No,No,Not Applicable,Chinese,2,2,3,11
14,4th Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,English,2,2,1,7
15,5th Grade,Female,Hispanic,3,No,No,Not Applicable,English,4,3,1,7
16,8th Grade,Male,Black,2,Yes,No,Not Applicable,English,0,0,0,1
17,7th Grade,Female,White,3.67,Yes,No,Not Applicable,Spanish,0,0,0,8
18,3rd Grade,Male,Black,3.33,No,No,Not Applicable,English,0,0,0,5
19,10th Grade,Female,Hispanic,2,Yes,No,Not Applicable,English,3,3,10,21
20,1st Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,2
21,11th Grade,Male,White,4,No,No,Not Applicable,English,0,0,0,3
22,10th Grade,Male,Hispanic,3.33,Yes,No,Not Applicable,Spanish,2,2,4,7
23,4th Grade,Female,White,2.67,No,No,Not Applicable,Spanish,0,0,0,4
24,6th Grade,Female,White,2.67,Yes,No,Not Applicable,Other,0,0,0,3
25,1st Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,2
26,9th Grade,Male,White,3,No,No,Not Applicable,English,,,,5
